lineup_hash,player1,player2,player3,player4,player5
1626167-1627783-1629614-1630169-1630174,myles-turner,pascal-siakam,andrew-nembhard,tyrese-haliburton,aaron-nesmith
201566-203932-203999-1627750-1631128,russell-westbrook,aaron-gordon,nikola-jokić,jamal-murray,christian-braun
201145-1628988-1631466-1641715-1642263,jeff-green,aaron-holiday,nate-williams,cam-whitmore,reed-sheppard
1629618-1630192-1631124-1631212-1641816,jalen-pickett,zeke-nnaji,julian-strawther,peyton-watson,hunter-tyson
203944-1628978-1629675-1630162-1630183,julius-randle,donte-divincenzo,naz-reid,anthony-edwards,jaden-mcdaniels
203932-203999-1627750-1629008-1631128,aaron-gordon,nikola-jokić,jamal-murray,michael-porter-jr,christian-braun
1627936-1628983-1629652-1631096-1631114,alex-caruso,shai-gilgeous-alexander,luguentz-dort,chet-holmgren,jalen-williams
1630198-1631119-1631172-1641794-1642349,isaiah-joe,jaylin-williams,ousmane-dieng,dillon-jones,ajay-mitchell
1628384-1628404-1628969-1629011-1630540,og-anunoby,josh-hart,mikal-bridges,mitchell-robinson,miles-mcbride
1626157-1628384-1628404-1628969-1628973,karl-anthony-towns,og-anunoby,josh-hart,mikal-bridges,jalen-brunson
201587-201935-202695-1626181-1627884,nicolas-batum,james-harden,kawhi-leonard,norman-powell,derrick-jones-jr
2544-1627827-1629029-1629060-1630559,lebron-james,dorian-finney-smith,luka-dončić,rui-hachimura,austin-reaves
1628418-1630167-1631097-1641767-1642277,thomas-bryant,obi-toppin,bennedict-mathurin,ben-sheppard,johnny-furphy
1628427-1629618-1630192-1631124-1641816,vlatko-čančar,jalen-pickett,zeke-nnaji,julian-strawther,hunter-tyson
203458-1629003-1630692-1642261-1642355,alex-len,shake-milton,jordan-goodwin,dalton-knecht,bronny-james
